waveform	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	[11]	[12]	[13]	[14]
t0	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	1,000000	1,000000	1,000000	1,000000

time	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	Y[11]	Y[12]	Y[13]	Y[14]
14.06.2018  16:27:45,901952	-9,404135E-1	-2,365148E-2	-6,434730E-1	-1,381094E+0	5,000000E+0	8,905928E-1	6,759746E-2	1,397574E+0	5,705348E-1	1,414511E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902052	-9,404135E-1	-2,273594E-2	-6,208896E-1	-1,399405E+0	5,000000E+0	8,939498E-1	6,576639E-2	1,370718E+0	5,671778E-1	1,335164E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902152	-9,388876E-1	-2,975509E-2	-5,940337E-1	-1,395743E+0	1,144427E-3	9,005112E-1	6,088350E-2	1,389029E+0	5,650416E-1	1,347372E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902252	-9,593347E-1	-2,426185E-2	-5,665675E-1	-1,439689E+0	1,907378E-3	8,947127E-1	5,996796E-2	1,385367E+0	5,622950E-1	1,380941E-1	1,754788E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902352	-9,575036E-1	-1,998932E-2	-5,482566E-1	-1,457084E+0	1,907378E-3	9,023423E-1	7,064927E-2	1,376822E+0	5,595483E-1	1,338216E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902452	-9,629969E-1	-3,189136E-2	-5,220112E-1	-1,455558E+0	5,000000E+0	9,081407E-1	6,576639E-2	1,374685E+0	5,586328E-1	1,365682E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902552	-9,684901E-1	-3,067063E-2	-4,832532E-1	-1,494926E+0	5,000000E+0	9,110399E-1	7,431144E-2	1,367666E+0	5,534447E-1	1,399252E-1	2,517739E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902652	-9,636073E-1	-3,555352E-2	-4,670787E-1	-1,506218E+0	5,000000E+0	9,183642E-1	6,485084E-2	1,340505E+0	5,513085E-1	1,383993E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902752	-9,715419E-1	-2,914473E-2	-4,405280E-1	-1,498589E+0	5,000000E+0	9,276722E-1	6,027314E-2	1,357595E+0	5,503929E-1	1,374838E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902852	-9,837492E-1	-3,158617E-2	-4,148928E-1	-1,542229E+0	1,907378E-3	9,110399E-1	6,301976E-2	1,347219E+0	5,439841E-1	1,405356E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902952	-9,806973E-1	-2,670329E-2	-3,865110E-1	-1,557183E+0	1,449607E-3	9,278249E-1	7,248035E-2	1,329519E+0	5,427634E-1	1,380941E-1	3,280690E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903052	-9,858854E-1	-2,365148E-2	-3,602655E-1	-1,542534E+0	2,670329E-3	9,221790E-1	7,156482E-2	1,332570E+0	5,384909E-1	1,374838E-1	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903152	-9,779507E-1	-2,151522E-2	-3,361562E-1	-1,588617E+0	5,000000E+0	9,233997E-1	7,278553E-2	1,329213E+0	5,339132E-1	1,390097E-1	3,280690E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903252	-9,773403E-1	-3,280690E-2	-3,093004E-1	-1,598077E+0	5,000000E+0	9,357595E-1	6,576639E-2	1,329519E+0	5,342184E-1	1,374838E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903352	-9,901579E-1	-2,792401E-2	-2,812238E-1	-1,585260E+0	5,000000E+0	9,398795E-1	6,424049E-2	1,309377E+0	5,271992E-1	1,396201E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903452	-9,916838E-1	-3,006027E-2	-2,665751E-1	-1,628595E+0	5,000000E+0	9,346914E-1	6,057832E-2	1,299001E+0	5,229267E-1	1,365682E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903552	-9,938201E-1	-3,921569E-2	-2,296483E-1	-1,640497E+0	1,297017E-3	9,423209E-1	6,759746E-2	1,288319E+0	5,177386E-1	1,359579E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903652	-1,007858E+0	-2,426185E-2	-2,070649E-1	-1,651179E+0	2,365148E-3	9,366751E-1	7,431144E-2	1,282826E+0	5,149920E-1	1,341268E-1	9,918364E-4	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903752	-9,932097E-1	-2,822919E-2	-1,805142E-1	-1,666743E+0	1,449607E-3	9,436942E-1	7,553216E-2	1,230640E+0	5,052262E-1	1,341268E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903852	-9,947357E-1	-2,578775E-2	-1,539635E-1	-1,675288E+0	5,000000E+0	9,513237E-1	6,546120E-2	1,313954E+0	5,131609E-1	1,353475E-1	1,754788E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903952	-1,000839E+0	-2,883955E-2	-1,261921E-1	-1,672541E+0	5,000000E+0	9,449149E-1	6,881819E-2	1,254749E+0	5,006485E-1	1,335164E-1	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904052	-9,959564E-1	-3,402762E-2	-1,103227E-1	-1,702144E+0	5,000000E+0	9,421683E-1	6,790265E-2	1,240101E+0	4,966812E-1	1,289387E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904152	-1,007248E+0	-2,914473E-2	-7,278553E-2	-1,710079E+0	5,000000E+0	9,444572E-1	6,851301E-2	1,226673E+0	4,927138E-1	1,268025E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904252	-1,003586E+0	-2,456702E-2	-4,715038E-2	-1,718318E+0	2,365148E-3	9,337758E-1	7,339589E-2	1,218738E+0	4,866102E-1	1,295491E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904352	-9,938201E-1	-2,548257E-2	-3,006027E-2	-1,731136E+0	1,602197E-3	9,458305E-1	7,156482E-2	1,207752E+0	4,805066E-1	1,277180E-1	3,128099E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904452	-9,980927E-1	-2,761883E-2	6,866560E-3	-1,735103E+0	2,517739E-3	9,465934E-1	7,370108E-2	1,199512E+0	4,753185E-1	1,316854E-1	9,918364E-4	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904552	-9,935149E-1	-2,090486E-2	3,189136E-2	-1,757687E+0	2,365148E-3	9,458305E-1	6,851301E-2	1,185779E+0	4,707408E-1	1,335164E-1	3,128099E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904652	-9,904631E-1	-3,311208E-2	5,020218E-2	-1,756771E+0	5,000000E+0	9,388113E-1	6,607156E-2	1,170520E+0	4,640269E-1	1,310750E-1	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904752	-9,971771E-1	-2,578775E-2	8,682384E-2	-1,759823E+0	5,000000E+0	9,345388E-1	6,454566E-2	1,111925E+0	4,509041E-1	1,332113E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904852	-9,974822E-1	-2,731365E-2	1,106279E-1	-1,790951E+0	5,000000E+0	9,380484E-1	7,339589E-2	1,148547E+0	4,533455E-1	1,356527E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,904952	-9,834440E-1	-2,853437E-2	1,356527E-1	-1,775998E+0	2,517739E-3	9,401847E-1	6,790265E-2	1,134203E+0	4,472419E-1	1,344320E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905052	-9,929045E-1	-2,304112E-2	1,646449E-1	-1,780270E+0	1,754788E-3	9,340810E-1	7,827878E-2	1,130541E+0	4,457160E-1	1,347372E-1	1,754788E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905152	-9,800870E-1	-2,243076E-2	1,957732E-1	-1,819638E+0	6,866560E-4	9,391165E-1	6,881819E-2	1,107958E+0	4,335088E-1	1,350423E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905252	-9,810025E-1	-3,280690E-2	1,991302E-1	-1,798276E+0	2,365148E-3	9,282826E-1	6,790265E-2	1,092088E+0	4,271000E-1	1,338216E-1	1,297017E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905352	-9,904631E-1	-2,761883E-2	2,452125E-1	-1,798581E+0	5,000000E+0	9,366751E-1	6,424049E-2	1,093614E+0	4,249638E-1	1,380941E-1	6,866560E-4	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905452	-9,752041E-1	-2,914473E-2	2,720684E-1	-1,830930E+0	5,000000E+0	9,188220E-1	6,881819E-2	1,064927E+0	4,145876E-1	1,371786E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905552	-9,718471E-1	-2,365148E-2	2,958724E-1	-1,807126E+0	5,000000E+0	9,217212E-1	6,698710E-2	1,048142E+0	4,075685E-1	1,368734E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905652	-9,727626E-1	-2,670329E-2	3,236439E-1	-1,812314E+0	2,822919E-3	9,134814E-1	7,156482E-2	1,034714E+0	4,002441E-1	1,368734E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905752	-9,599451E-1	-2,761883E-2	3,529412E-1	-1,818112E+0	2,212558E-3	9,116502E-1	6,301976E-2	1,019760E+0	3,935302E-1	1,371786E-1	2,517739E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905852	-9,596399E-1	-2,273594E-2	3,727779E-1	-1,818112E+0	2,212558E-3	8,924239E-1	6,668193E-2	9,990082E-1	3,862059E-1	1,380941E-1	2,975509E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,905952	-9,608606E-1	-3,036545E-2	4,048218E-1	-1,819028E+0	2,212558E-3	9,000534E-1	6,301976E-2	9,858854E-1	3,776608E-1	1,368734E-1	2,059968E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906052	-9,532311E-1	-2,944991E-2	4,267949E-1	-1,844968E+0	5,000000E+0	8,953231E-1	6,210422E-2	9,678798E-1	3,706416E-1	1,387045E-1	2,670329E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906152	-9,477379E-1	-3,158617E-2	4,554818E-1	-1,821469E+0	5,000000E+0	8,869306E-1	6,851301E-2	9,517052E-1	3,633173E-1	1,365682E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906252	-9,343099E-1	-2,395666E-2	4,832532E-1	-1,825132E+0	5,000000E+0	8,852522E-1	6,759746E-2	9,394980E-1	3,599603E-1	1,338216E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906352	-9,269856E-1	-3,372244E-2	5,064470E-1	-1,852598E+0	2,059968E-3	8,794537E-1	6,393530E-2	9,172198E-1	3,483635E-1	1,353475E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906452	-9,315633E-1	-2,426185E-2	5,342184E-1	-1,827268E+0	1,907378E-3	8,663310E-1	6,240940E-2	9,007401E-1	3,395132E-1	1,362631E-1	1,144427E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906552	-9,217975E-1	-3,219654E-2	5,595483E-1	-1,824216E+0	1,907378E-3	8,661784E-1	6,088350E-2	9,083696E-1	3,343252E-1	1,347372E-1	2,822919E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906652	-9,114214E-1	-3,006027E-2	5,909819E-1	-1,819333E+0	1,754788E-3	8,567178E-1	5,813687E-2	8,662547E-1	3,251697E-1	1,341268E-1	2,059968E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906752	-9,089800E-1	-2,609293E-2	6,037995E-1	-1,825132E+0	5,000000E+0	8,501564E-1	6,576639E-2	8,470283E-1	3,169299E-1	1,350423E-1	9,918364E-4	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906852	-8,921950E-1	-2,883955E-2	6,422522E-1	-1,825742E+0	5,000000E+0	8,466468E-1	6,851301E-2	8,235294E-1	3,120470E-1	1,329061E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,906952	-8,900588E-1	-2,639811E-2	6,691081E-1	-1,832151E+0	5,000000E+0	8,365759E-1	6,149386E-2	8,097963E-1	2,986191E-1	1,347372E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907052	-8,857862E-1	-2,517739E-2	6,938277E-1	-1,820249E+0	2,517739E-3	8,208591E-1	5,416953E-2	7,917907E-1	2,900740E-1	1,316854E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907152	-8,686961E-1	-2,273594E-2	7,042038E-1	-1,816587E+0	2,365148E-3	8,162814E-1	5,661097E-2	7,911803E-1	2,851911E-1	1,313802E-1	3,128099E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907252	-8,799878E-1	-2,487221E-2	7,222095E-1	-1,813840E+0	2,059968E-3	8,001068E-1	5,386435E-2	7,731746E-1	2,818341E-1	1,338216E-1	1,754788E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907352	-8,632029E-1	-5,951019E-3	7,258717E-1	-1,823606E+0	1,907378E-3	7,843900E-1	5,966277E-2	7,667658E-1	2,812238E-1	1,347372E-1	2,059968E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907452	-8,592355E-1	1,632715E-2	7,319753E-1	-1,807736E+0	5,000000E+0	7,572290E-1	5,355917E-2	7,527276E-1	2,769513E-1	1,307698E-1	2,059968E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907552	-8,668650E-1	6,088350E-2	7,304494E-1	-1,803769E+0	5,000000E+0	7,068742E-1	6,088350E-2	7,606623E-1	2,793927E-1	1,359579E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907652	-8,564889E-1	1,020829E-1	7,341115E-1	-1,805600E+0	5,000000E+0	6,525521E-1	5,477989E-2	7,554742E-1	2,772564E-1	1,356527E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907752	-8,595407E-1	1,499962E-1	7,392996E-1	-1,802243E+0	2,517739E-3	6,052491E-1	4,654002E-2	7,551690E-1	2,763409E-1	1,371786E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
