waveform	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	[11]	[12]	[13]	[14]
t0	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	1,000000	1,000000	1,000000	1,000000

time	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	Y[11]	Y[12]	Y[13]	Y[14]
22.06.2018  14:46:54,863246	-2,212558E-2	-2,639811E-2	-1,896849E+0	9,034867E-1	1,144427E-3	-2,822919E-2	-2,487221E-2	5,162127E-1	3,865110E-1	5,172808E-2	3,891051E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863346	-2,700847E-2	-2,304112E-2	-1,859312E+0	9,382772E-1	1,754788E-3	-2,304112E-2	-2,304112E-2	4,771496E-1	3,956665E-1	5,294881E-2	2,975509E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863446	-2,029450E-2	-2,243076E-2	-1,857481E+0	9,590296E-1	5,000000E+0	-1,968414E-2	-2,853437E-2	4,631113E-1	4,054322E-1	4,837110E-2	2,670329E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863546	-4,165713E-2	-3,250172E-2	-1,890440E+0	9,629969E-1	5,000000E+0	-2,914473E-2	-2,395666E-2	4,332036E-1	4,124514E-1	4,623483E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863646	-3,372244E-2	-2,578775E-2	-1,859007E+0	9,910735E-1	5,000000E+0	-3,433280E-2	-3,372244E-2	3,831540E-1	4,176394E-1	5,294881E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863746	-3,006027E-2	-2,975509E-2	-1,857481E+0	1,011521E+0	1,754788E-3	-2,883955E-2	-1,998932E-2	3,767453E-1	4,304570E-1	4,623483E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863846	-2,151522E-2	-2,883955E-2	-1,888304E+0	1,017319E+0	2,365148E-3	-1,998932E-2	-3,006027E-2	3,422599E-1	4,368658E-1	4,684520E-2	2,517739E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,863946	-2,151522E-2	-2,487221E-2	-1,840696E+0	1,048753E+0	2,365148E-3	-2,761883E-2	-2,975509E-2	2,931258E-1	4,402228E-1	5,081254E-2	1,754788E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864046	-2,182040E-2	-2,456702E-2	-1,847715E+0	1,066453E+0	5,000000E+0	-2,456702E-2	-3,555352E-2	2,912947E-1	4,542611E-1	4,715038E-2	1,144427E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864146	-2,517739E-2	-3,006027E-2	-1,852293E+0	1,075914E+0	5,000000E+0	-2,273594E-2	-2,731365E-2	2,571145E-1	4,600595E-1	4,989700E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864246	-3,463798E-2	-2,639811E-2	-1,842222E+0	1,086290E+0	5,000000E+0	-2,975509E-2	-2,731365E-2	1,985199E-1	4,621958E-1	5,294881E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864346	-2,700847E-2	-2,731365E-2	-1,835813E+0	1,116503E+0	5,000000E+0	-2,670329E-2	-1,937896E-2	2,030976E-1	4,774548E-1	4,867628E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864446	-2,395666E-2	-3,372244E-2	-1,859922E+0	1,119860E+0	1,907378E-3	-2,792401E-2	-3,219654E-2	1,713588E-1	4,820325E-1	4,928664E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864546	-1,937896E-2	-2,517739E-2	-1,837034E+0	1,146410E+0	2,822919E-3	-3,158617E-2	-2,731365E-2	1,518273E-1	4,939345E-1	5,355917E-2	1,297017E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864646	-2,365148E-2	-2,670329E-2	-1,820859E+0	1,160143E+0	9,918364E-4	-1,998932E-2	-2,792401E-2	1,066606E-1	4,966812E-1	4,715038E-2	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864746	-2,609293E-2	-2,517739E-2	-1,803159E+0	1,178454E+0	5,000000E+0	-2,761883E-2	-3,006027E-2	8,529793E-2	5,027848E-1	5,020218E-2	1,297017E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864846	-3,219654E-2	-2,639811E-2	-1,805905E+0	1,191272E+0	5,000000E+0	-2,914473E-2	-2,517739E-2	6,301976E-2	5,107195E-1	5,325399E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,864946	-2,975509E-2	-2,944991E-2	-1,798276E+0	1,205615E+0	5,000000E+0	-3,067063E-2	-1,907378E-2	2,883955E-2	5,180438E-1	5,325399E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865046	-2,670329E-2	-2,853437E-2	-1,790036E+0	1,218128E+0	2,517739E-3	-2,639811E-2	-3,280690E-2	-7,629511E-4	5,232319E-1	5,355917E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865146	-2,456702E-2	-2,212558E-2	-1,794003E+0	1,233387E+0	1,602197E-3	-3,372244E-2	-2,639811E-2	-3,799497E-2	5,210956E-1	5,813687E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865246	-1,876860E-2	-2,822919E-2	-1,774777E+0	1,246815E+0	1,754788E-3	-3,463798E-2	-2,761883E-2	-5,813687E-2	5,363546E-1	5,142291E-2	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865346	-2,853437E-2	-2,639811E-2	-1,758602E+0	1,270924E+0	2,212558E-3	-3,036545E-2	-3,189136E-2	-8,560311E-2	5,412375E-1	5,355917E-2	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
